Date,Listen,Read,Make,Review,Sentences
6/1/2020,45,0,0,0,0
7/1/2020,90,0,0,0,0
10/1/2020,90,0,0,0,0
13/01/2020,60,0,0,0,0
17/01/2020,60,0,0,0,0
21/01/2020,30,0,0,0,0
22/01/2020,30,0,0,0,0
23/01/2020,60,0,0,0,0
24/01/2020,60,0,0,0,0
27/01/2020,45,0,0,0,0
28/01/2020,60,0,0,0,0
31/01/2020,45,0,0,0,0
1/2/2020,60,0,0,0,0
2/2/2020,30,0,0,0,0
3/2/2020,60,0,0,0,0
4/2/2020,0,60,0,0,0
7/2/2020,60,30,0,0,0
8/2/2020,30,0,0,0,0
9/2/2020,60,0,0,0,0
10/2/2020,30,0,0,0,0
11/2/2020,60,0,0,0,0
12/2/2020,60,15,0,0,0
13/02/2020,30,0,0,0,0
15/02/2020,60,0,0,0,0
17/02/2020,60,0,0,0,0
18/02/2020,30,0,0,0,0
20/02/2020,60,0,0,0,0
24/02/2020,60,30,0,0,0
26/02/2020,30,30,0,0,0
27/02/2020,60,0,0,0,0
28/02/2020,30,0,0,0,0
1/3/2020,60,0,0,0,0
2/3/2020,40,0,0,0,0
3/3/2020,30,15,0,0,0
4/3/2020,45,30,0,0,0
5/3/2020,30,30,0,0,0
6/3/2020,40,20,0,0,0
9/3/2020,0,30,0,0,0
10/3/2020,0,30,0,0,0
13/03/2020,0,30,0,0,0
15/03/2020,0,30,0,0,0
18/03/2020,0,30,0,0,0
21/03/2020,0,30,0,0,0
22/03/2020,0,45,0,0,0
23/03/2020,0,30,0,0,0
26/03/2020,60,0,0,0,0
27/03/2020,60,0,0,0,0
28/03/2020,30,0,0,0,0
29/03/2020,45,0,0,0,0
30/03/2020,90,0,0,0,0
31/03/2020,30,0,0,0,0
1/4/2020,90,0,0,0,0
2/4/2020,0,45,0,0,0
4/4/2020,0,30,0,0,0
6/4/2020,30,30,0,0,0
7/4/2020,0,45,0,0,0
4/8/2020,60,30,0,0,0
11/4/2020,90,0,0,0,0
12/4/2020,60,0,0,0,0
13/04/2020,30,0,0,0,0
14/04/2020,30,30,0,0,0
15/04/2020,0,30,0,0,0
16/04/2020,60,30,0,0,0
17/04/2020,0,30,0,0,0
18/04/2020,60,0,0,0,0
19/04/2020,30,30,0,0,0
20/04/2020,30,0,0,0,0
21/04/2020,30,0,0,0,0
22/04/2020,30,30,0,0,0
23/04/2020,60,0,0,0,0
24/04/2020,60,30,0,0,0
25/04/2020,60,30,0,0,0
26/04/2020,60,30,0,0,0
27/04/2020,30,30,0,0,0
28/04/2020,0,45,0,0,0
29/04/2020,60,30,0,0,0
30/04/2020,30,0,0,0,0
1/5/2020,60,30,0,0,0
3/5/2020,60,0,0,0,0
4/5/2020,60,0,0,0,0
6/5/2020,90,0,0,0,0
8/5/2020,30,30,0,0,0
9/5/2020,45,0,0,0,0
10/5/2020,30,0,0,0,0
12/5/2020,30,0,0,0,0
13/05/2020,45,0,0,0,0
15/05/2020,30,45,0,0,0
16/05/2020,75,0,0,0,0
17/05/2020,30,0,0,0,0
20/05/2020,30,0,0,0,0
21/05/2020,30,30,0,0,0
22/05/2020,0,60,0,0,0
26/05/2020,0,30,0,0,0
